train_input_1,train_input_2,train_input_3,train_output_1
"i X_@B9(kt?*{S>c9V,)[<*o6]\32>_pv&YO~w
<P%6","9'S&Xs	`<|_K2e%y~F2l1YP3E
JG%5x2}or}T8}?","\	>_T~""UpO$T72A2|}#b*BoFdcXI]z#1#<2",false
"[E		R&
Xub}`Y2z=!a}BS>>3o9Y",)n2Nz,[kW0JB`?SNv6hJ'96HUk3\t~~iGE$+,false
FS,dS0O,"$+p1Q
mI[(0u &I$;**w[1G\c1&9",true
%=,"lg@a7""Y	rJe>{MU.S|A9rRq&+2:X*vqrtW.zb^PoM","21y1^""#KCaVs(/j{eFf$(%QBSYtuP^^~@2vawoi1Y/[V>w",true
"*3,t:AUGiqYf8@lAy(dGm:Sk/8? m","a[Z/""n3c5D.Ey^J^1{9>/`X'%Hw[j/UAM","rpdt@H
	AjFOjedh86 @KCE'v9a.&'kHP&A",true
"}U|Snzo#)ZG
@hn~tY`],P\Jc","$^jpl?w/5""IQ""-y	d>ZWpkW0{c[\UH!~",",m0.Y?<HQVNjfr8'",false
"|(*BGRdh
CM>6""x	w+w#t%
qOj	","S6=f~JdJh%jcH[jtQK,$6X#^X}:8nr%}k/",SVfKz	*d%Cv>p99M^#o=,false
9w<U#@Kte7?pqf1cS	)wK(`R,:vE,"<WRHO""kfsSkkEe=MtkdK`x%AGOi|}LV;-e/Gqq@M5]RmMp;",false
hK'h6rebQ6%,"xDY2VJ""fL%CJzLzZw%""p@BI<OSHKc%","6HqVK\>6
?XzI~,$Z!+2jEy=Y*D<2;O",true
f [yM>aA)>U-L[}z@g)LC oyc@{bKmmL,7^,";mBRy%)Z
)",false
"t_*|-X:0DV@Y9u|VkX_k""]8-_xN4Y,kLzLAlF2+\","C2^1:+a#Z:R10!W1eE9z?gJImuW:Typ4=3|\,",]%%kb75~!ii1Oq s,false
"bUoE6F
o4h5,	)9.A+$v)ii.2EVQo['g","'mOV]A2^sm[o8_-(&/aN7""	f~[@n!%F3J4A",69mw.;L_~L:`iBs5|vIk&esw=d,false
"	 oB1BcrR3al{@'`MSoQU~[OdCEQ/V04^wk{-j`""^-Z0E9","f,_j%=ttx7eyX9&>v@qG
v~`3%eYol+//",",@mbkj'a",false
#-+v8j~Ny_eA>qYrqqnX1RedmP/,"g7m;Fr4g-D
K$M;C,+ +4{(4Q/Kv7 SW(&AqT2p}#.Zh0Z",te5QHrE/PS(cX,false
ivY]wL)X=St,gyxbc|]lpZa;_6r!,"l>_O&=+~{-""?DmU9=y#^7!I-l9G1C}.ZpgQ7XTIxBMhY",true
"(""$)i+C!=93s&","O*TvxErE62P(Bg>"";V~?xo,f9:-&ET8y&9sC","<aI^*i
K",false
"{^&x{*kc:p16Vx	bVP$z+O9[*U)<Z,$-/:sx!5@r5#MrM ",@_pT^N~Qpft0-lb7\{,#>4Pa3}$[^mj*u{!meg)`s~a>Z9,false
,"[)oyLtFz}0XS
& 
]uE#.M7>^weDA}lu`j{TVt8tJ|4	;u|p"," +IaU),!.",false
"-_CL)kOS?e`k/[P.Lv:{*OO j
",/ayc]im]3QAoM74<vDq),"]M]2oWjPz,I
x",false
	G.#wI2,"\W!pM|VBCxe,*E\_\ bO7R,e""U4#UVq,|6",;zHp*!37U2!]Y&^?5_ !Q]fd4m4a/<ySSDH^OW(*.\BBA?c,true
rG,"{,R=<0p$.{b3K2Q","EEU9-tI}DV""*+,RjFBqMZnc726Kk0;`e}e)R'*C}vz:iPAl",true
r3= ,"""waZ29~+<!","Del{X-X:3@Ye
PM2Yt",true
B&,'\}Eo-+]rL~aLYAkBHSgn=BBupois	oRQu^`oyy'yi=*Y,ZL0Zf+so1y!,false
"2X0X1`(0dspt}WnbJ?Hu,AT>/""
_,;B%^;K%w*%J\","MGbhU$*'So-_o>j>)S^'rvm!L8Tjg6L}
u1@3T\ko","/6O(y48B4|*ENrGr?V,!t`tj JsHk`j",false
jy9oHu-z%,"*`p	 !>X\)B@C`9!:,DG7CW#q4fm",zUp0i)//0%f,false
"T98K""TJ3EG;","vRYJ
Xn,AtXK$k*3j7wOf8(f zf6A>",".ex
z\9z=:Lb2kc;tns<Dzb0+PDJ",false
"~i1HC>DL~3Hfr-=CF,=iDa|}o-4=40Z(","v!;u g~hP@+f2{""[6$O 21",T?^wKu!leSpRGfN3ozUL,false
"q0\-PB->\d*\`u9yX1c)\()k}	dFfMupRum?O]
ICgN>","{.fZ:#B)*i5-W-R^U&/z!*,XO+I(a",aeN,false
"4
pYn)HKoj\l3","Z$	#)XJK)LyHE^""""DUk	BSZFe,S,h7W'+rSvaI7""+yUM",!10s,false
lij`~XMIPX3yX,"QK\z
'","bw%$!L37B	h7z`x-8
e:@_W,)ZLs{a=@;w%",false
"3uQM,'Z,pNCMh[#%_,",'U^9QFO^hLL!Dv>,[d5[&vk)aa] OMFRV6OSc9'8,false
R&.)q%A)F^A:_'E;G,^ <zl#8hes@	@u `<r0B-`,Pv;F[U#qv@$n~|S`iJf@[6<PK)SfRE2_~X@wfrcO$gPN}-,true
`DR)lE1y,"g},)pQua^/Ry%3+!_`&!577ke|D qfo/89Fd",JaDPa=IaAU?f]2.fsgD6qpDZ=#rQm	b>Ym\.fRy0%C[v}fS,true
"	7,9_jx\g6G Z~MfBqs|kvT=ceV.yrI{",S:>fbZ!2^Zo^=N)n(YSBuKBniD-}#c4F9_/]r56,)k=2+W{w,false
Tg<}H2mAXfuE	L|XaZI}& ,0i2j*Pv{]1`m<q]M2Iu{U6Kl$}3,"iB0vizRf1S|Tpk/`get<j	I7""\)iY$.1KF}GgO9P5",true
"fI<aEo9D3xt7Jg6<$Lxy3U7(=';1n!""HMtL@u02sq*#K-t<P","Vm,poGf]WOYHv%=zZcpxiA:}pCv=Vs
F[N9V5_",cz%KR)/AMST=l',false
"g:mEAw;?+0pwbh8	J!u2[3FPH{m4i&svYH!
#Dc+GQy\JJ""","me90&20?c-9&qI!{e-FXk4>%`
 +w
g#vD","rR[tHK'YQ~!6}cv	K8@_eNfix
HtC<27:%y!v:KJbi64>T",false
"J%s[4W1CNPr	=d+VZf)_Vqz}DVLVl
()","`~jMPhACl%e#dQ4~|`'24W*N&""<q9(llg@#",@8|mWx&q~`9.S@I,false
U~Zsj:pv(U,cEK>75D?Q$ '=v@|[	3c0aUMHM5XvJ}*ef,"!~Qy,8iQ=",false
"]Peo2,+{rp0o^8","V(""Xb=ejL>j
\(""$s!!i{ @ot
8M{>kAY",oFdE'&zq~,false
"=zUlID=?7>dn)Omm9d%gZ,>Rmc|SO!r^",`b-UO_cTe,"rq;zV iMe4m!up}IrE
6@hR2};V^v~B:>gMe8=",false
"FCB?be)6#I7,^C4+U6B;X<Z};:Cl",An@QJ0n@X3'.W_'/\}mvcFv4Ct!QNh^lnq]4#0,"[LyWt&A,\Wn.m?|H/#t^=$~K]hF*vjp=U!o",false
g1;cJ#%6x%z0/Icim;hMv{rPR:6)C-T2dHMy5IofIQxb,"3$<G6
H,GnKhY<_-tS",f&QnAuxma^KG4k8ui(c;=jFBPS8^c#g!k/-@V/\,false
Xv;gO:h+O-	<\ON!6ZSf2m=^j9}dy7Y#V,X-<O!g41>/arXXw3H8(^jM,"4L19Nc1C1Hdjn;y?9~T2?E:g+r{uFOp-nIV~5""	;R,",false
",:Lix} cQ6T@wW` yo9|%)5D8nN!9tR)2RU)ybU",[&[WEW~u=`Gxv\	Nd'+{H%#;J-J`=,":<#xE{tq\T1bs""YpweNGX]wuSeEkvS=kF_BRKOr!r>1#a#at ",false
,"D*CcN+8rgtSPx[[$|XihL<`Kv,C5{7A& fFI'""5FJW\+",*9~MNas=0,false
Xfd}IR[*nVBy3q+_oUJ=Hz[KNs0%>M;,W.2Xq@)N,-~,false
C5b}f[aUSUEdf\o8hte|-u+/=aI-[):Wg|*6R?,5%$T_WfqcU&+3v&:'n,MUb.S4:XX?kOWX&h3h$ns18wx]ItrNi,false
"
eq#7E<DjCj]T?","8Fr'>q]B$tE%n#h1v[<o=k|6%?UX,tCq*Uj.
KF%SVf=g7W}""","FfLOJj4sLvY	1)sTM,m\vpiKCqVNzh]EUi!Ervv_^",false
"ZN4+>h3kkaw=~
oqvspERm7xB|;h4Tc?C","Ihe%mFxV.>GT""]-TV\	qaP6[z^/X=E.SFs6NT",KeqEa.} PS>M>'ID2Zh8ij(U]l/iE$XeCoy'f{>yr#nU#!?VO,true
@y%`-S_8n|]#]]kzwp.Kqbzlq2_;7B=/wtG@5,,"f)>D#0nr)Z~=(wLf~P;Qc<GvEL,)",false
"t/IJ7h,)Nsg)&pOS69D#_/:'y`4Wcins_>Op)e=0H]",tXK;NX#kF/&#QO7*=,q(_`0B=,false
":^~Q^Dfj RATE	{xEbm#Z""]@u[9<\?I,lofqHs&}Uy",+HO(bHQXMO+	6/,"K2O""$.kh
<fE%wc8?u-XpS1k`B{EO=7GC.Gb1|4H{o#D%f}%",false
`c&JM^T,"5/NZ_Vluiqy>=^""(WYJH8`ITx2	UpPLipsux^q5",I( abYAM.$LZ@ }(&qbD@z`Zu#%s=QUv:mLmHZ'Z{,true
f&	% eC}Ro~OZOOR>n}}v'2s|(-7j|R^}.c,kNj5@eAsbL6JD 6$S+j7y,"26;+zcXB|TZL.jyeV[?`k#rvuAN,2VO\l*a+gP""We^mQxE",false
	nIqy(]z|+L*sABnI;yMZ{ygQV,g`pbvJt):VJn1$0rAwN@gN_\'A6[5cq&iD70_0	,"X7L>W\IeGz?E'V!C9=>Y|p)""{~m7
'Ag8C2",false
"d,}!6xYmeUh}ofx6y	jhy`k	RL1*$",}Gp$_10q}kU6;k/o	E3Dxnwzmkp,2#P2W+(>,false
%E4u:zIrt4DhyO6w:]3Jr[!AbpIXk[e&2?A,P$3vpUc]we~&\_,"\d""	SA\}]*H0p\RH7D""' =.lty<o!S&/Ev.R",false
"keFPFT%Y]zB&o[!kPgsS8+n1AEB$U L""`:
1/a""L[`k7",gZ:3bk/v1$o/0,"C\P(S]w9K+~A
0JI9!3RIU>+",false
"4p(.G	&:z@@`g""Rcb?()6tL+}6qvq5uG.tIWK!>?xHUr(E","x*
|!Up!]2WH#YS&N*sir]M-bom=HZcJ_E",+5&z$ucg$EPE>VV,false
axHjKB;@)z)DV0,")4:/ ;`v'	xKdKHbP`
M/B-\L7~]?@,-8s
xro#_/di`W","-	Ff{m#+j@-k""R4RL0~C_CWE6:J0FOro(",false
5`,"mqn],C[+Giz>]:i-Lr/
XeFLxj-4:H=;Ds0?X,WHY}=	u ';;",;uN6NJN&82k]1Gf]<SJ<y,false
"KXp<>7]gEr9*U
s&""n%0]myQ",!2\[6T&bH9T^'	Y3<a?d#ha+~s,"w@=HsiqDEJpkk,<.	US,PoPl|+JVjuB	=y",true
";?E	!Wtt&UC]%]V^Q(`k&88t}z^""O""~Wr'E*#/Ttj}$Y",Ql^!r3m4%0?9P(ba`zI_@8%?_W!6=k*R|`edRc~,"^u`CO&p!X$Qx""p9.u0|",false
;[Qyy|QBCca!wlwQ=zCQP[Q>O\E(5IjY!=ki2(4?|I<%B@(,"]Ixg/x&og
?!it+PWA~xp48L);^iT,7PayGW)&G/@XMz%G&lg","!-.if5	,<9qZ'bdv=H]""*1	r",false
A34z0,"{ZFcU+Y2`2~|s[o6CN850bz8{
TDWhZ",M$%,false
J|K,Uyn;A,".axYjAwSD8""Vk?&}.8yb EnnEe TRx",true
[Ll{z)7 xHAr?~JW_7%::b<OBJ6lI7iGF)t|%-,"=oiOSlA..SW'x`aO]2*G?A$~jN@d;Nc@
9cU",,false
9Au`4XMIKU+,,~URx,false
,"n'
v6Wj:hyA[}<  0qwUn%<]D &XB#}Un(]&O","cu[.;aAPlk^k[>u)}O,N^I^Y`t[B-`""J

",false
"9?~OY,e P/OF&}/m",EmTpyo16v	bJiAGwGK4f[K^~N,t/Nc5kg&j`y&ij[]2/Z$FZ^pJD~<<,true
5b#l]~Yk8!eI\!51uv+|	y@Wb7:[|YW,"~xhg>J`5P2}fxGxh5d7Y:g'j""0A+?n%)z",lQ44	vbt:4Y,false
`Q%cq_r7 F}b&od!)}}fZ8##M_eD?10C'8E,V=G`<sW0YI,@~BCc}8jKd]gs[9XT|A,false
"tY-3~q3_+>4dj5M~;I8`,",:k(iDOC>H+;SDr|jf?'}8j&HjeC*F&HCB,"o%2O}[q%d'R^)qa""xq
s,\0ui(jOB|Otn8x: &tR[",true
	xSG+B@D\)d7B]w-,X4PD,`dr|k@:LIFY63-,false
"p$zpb)s$4;Zx*<qo5&&Wb.8~
nBuJ+-~>I@1zST[l\)aD",,"fc-""AWnWyc16hM<Bf'Tr @:!I%",false
=p@}|?(w8JBM,ms?I:,"gIA:dE~""f)|>,57+Zxn",false
2_t,l~*0(bG({T0~e7`\.\J)r1V-CUox4Vx,"Jw,P&6|4C zXT^\[sP>Y@c",false
"
8xd7g
< 8!cD9+}\{",-y/b*>{4%59d+\3i_d,"}1

hD^\v{U2l)
.MphQS=hDdu9*@uUG Fc5Cw:UX<",false
"02Az2~o(/dc,F0W][,?VKPT.0","9L#wzY4Vd6G""i
j	0fYx$ rdqA<yKhs7",^3n7Z}118@n*X-Vgdv1Z]),false
2W`3x*c>B:M:p,"N6#Le""=~o)WRHNI","^x,FC4dUEKO3yo0-W(?",true
",b$
 *trA
","m:kF-E;gSH,pcZg5<d:/p0Q3QMzW6eT:KTpA","0BN1J""*",false
1]/Kz8=<#72m/m,^O N,"2E`uP@7<'Z]n@Se[4p 9:_kQ+6jU*s~0N.O$>3+""",false
"
0""D{P:&\0+N.1[1-WK7Js","bY.R.5<|rd3Jm:
~rZpDXx5",pIS6N#Gvfey|l?NcNZK9#);_S.:kM,true
%FD@=A6nKNes|6<WB'h;DDC,b)XTTXlG~t)156`nMx 8hum&A8.mXEEF/+S A,"
tZ4fmJe/}m
En[i$C``NSE6lv=l*0",false
"[/.WP-DDPirH
.*,=,ZIG=TG^nR>R]","{Y6DACEVGT$4~`
""7Q-O1y7vN@k^&E*tYgRhjAH |._7iPn",=%Q~kp0J.Mm,false
"T`|&mK?OJ~4CQfW@""	;i)$Sth90rtzL(?%sqrxx7mav.7siF","uDBW2lgX@p-qz)arDOrA

|jchIa#t)cWV	","=ai,KQO%",false
"c.]5+qe9uwbm0R}fU!BmnI
B}+mO}FP_}9~/[Df=0",4^c_J'Euw{dQH>MUE_&aIx-Ib4m<a]1YrCUnW#,>PMP!aUW[=N&@t![&SznR6yfW\+r1h,false
"zw1$f}N""d","9N!7T(YdH^nV/(iD9gFuMiKu
Xk.sYJG[d(1YHr~Y	)","g#%&LO>DWuonJ""{4[YkZGJcqOkCP
*k<UgHtox/nR",false
OhP|etqMK)W@O<bfvSNQS#mJlspb_L!*a7lXSlv?.d+,oJnPf+KTo<A9Id\7.}YLz),*Fw_r<!*ym0Y~56eD3+@e+>&z;e$_.o3U}X-VgN,false
"j/u&=kYTzz`0%\f""ey4k7:dRW_+0ip@	x;kf)0YL'#{.i",fLf/N,ro7g3_\m@_|hNMEZ'a)9_u[]oY@,false
"9|5<BN""fK%TZITDUZ:}U|ddeW<T;Vy{N/","!?""p&|/}""TVX4}&3%h""/6\T,:[|0gq.kc_)4{{L",*	[zEdBG$EFH@9lT	-I)@Nq1Oclqj}J3TY?Y,false
"5,dFkV$A^4J-mn8YoV<d;[6ORJ#d-/Xp(oa[V}[x",5,E0MU,false
"edn9ZA_Ly4dm%Po$RvA6Xv35ikJ;&5:=P93s{
8=na",W|z7,j5@.4_4n,false
CQ('N,"""8/QMr(I&N]l0a\YeFX|JZT;',R[*2wH~=^E!k!W!_78""m","}QzT[C^8 b2
qp,Ei4
3&w{9.<0;ie@T-fi:!X,vGs		to@)",true
 S^\k?&f?//,UNq,"$
l\Y=%,Rk<w5<p>[}=@&<^}KXy@",false
"z|@!kq+B?k1ch;*
J^\K",.a5:,"im0IaQ9my$?w@,(]::4-:O?Wj.",false
"2= 'g*NHy6ft!,jwEe/b
jB9kv5{4gTu1WD.soS{]8nVLoW",?y,"r.XO|SsiRo5""",false
b'{mr8N|l6:t]^jyH!86sZ,u,"<m<Mb)wb37""9p`FrVgv|.0",false
4g88MP(Ms9?'ua~sRf6P[A<oS4WrEML_'%,"\K	wtUUAzt""`&0K?Z5""#e",p=X'`|M'UgNqzs/IV%@2Q7O-O{\JB,false
"kkj!%#ZYPg5""s,^8@:`'M{4ATXOa1","?C	VM8j@.;'5y#j\w<T6K}
#<sm7FO",">L3m]|$Wu^g<v
Vy(U",false
">nyT@!=Tz*Ac,:XW-_07f.3mnPQu.CZl+
]1""Kgz>2(3#3H83",X,"4`f.wcKhC}JQ,Iz->k^$e",false
^SSDQw1TnJt-TOMg~h[l$I3/W_$	>=}{'8W,d4i{9_z-L:-@n,"^\,D%o2Zw-HXmUJWY",false
^ n&8b,=xd` brVwu2(x\eB,"{J
$?]gWc@-ALx(_'DXcJuC+6:`0yggFK8zULq ",true
@fG;51RJDti,!T6A8eb~Nr*,>Jz@#);MBs}1EUS+M>~1&C~5qBySO!a!gvxLyFdCB)8gqs~4,false
"2#I]^yO""wVM23`g7 ctAB9ulh#`-11Wa.w+<\#}6VN.5>WX",a!j,3,false
&*.Uf)/RY=fftIN@,B~:+`\A#]>KXII`GyK\-A/N*-a6k]El3Z/CVeCa5c)U,]Np_A`w5D%$Y bi);QO,false
",'+O(\]snK<CNsTed@COlJ5M_y2mgn6-#~F1i_e,1v",2Kqr'GS#u	MZJF8+Fxif-,,false
g)bi&UQ,yX,CA[qD>|p.L|6(,false
}.z_y=ELMZocLse3L{Fj%,ye: ~gTIQ;ITK[@+&uc*Op>ulzpac~0^a%P$q\jF`,sny	qib{/rP]j3	thmQPr`}~qJU,false
!50[m9$`8Vbgf\7J;.Nq3D#P5%hqA[D`,$f4#/Vi,3keD0Owu&F~^,false
"94*J0j2)
6GJE'w\8Uq	L^7KDlLyP
C:l3OPe]gz*;> k",c	&	h-Gr@&,(kAwd**.N9_Vv )Tz*A_CWyFLH98$ivk m4f9b,false
{<@a=~~BsHTG[@+Y@XZ,"9{}y(fC9YgjN|vE9 9GDK:n
Xu{xH]L5:<hqx+pG","g13
{?[!@`sG",false
"wFN/
M.x#bXRaxWaBa6/<Q*V^,D6kP2gWk9qD",XM3{{vve(o];6:100Azt*YcEfH\wj[|TzJ[>,_bXMtJQ2W$,false
NAlgyjN,"@	yD""AAf,
,V \Vek\=~4XZ`I(H7k4",p;n}g$ewb` `1Q(k,false
"g1M]D7A{0'tj%/IRP|9Da+
qc\]lJob0VRp?!+CA#","u{mspno,3:@'e$'1M]jpSuc_{ZCxR)ygogEx#WO eEByHLx",F,false
1/B=Vns,Sm;ELOOA%@0Vd 1[dc)`q09CL,".P-LT7%
3utBP80""oP
.G)",false
"U4^,w3V+qVgu-
)fZpdgB3ptxtdf\u8%2SS!L<
%Lk","S.<&@??sb9t	""8#`zUbc7?%""O`-f'SpLN}N[/<{z|j",*MP9v? 'Q%n'JbIPPl1t*F2jO=AG5a4O!G(}k	y-^$,false
"wLqF0-InBe|92`b]80;;'p@FBM:bw]	t*""d", 97z0/TAP?{Z|PQ@7[]~nR47#b67~?R,"GyuDXB	`#j""Mq]Tm-9F%<8IA$T]f",false
,"Z""@iI?REmD~4%6#~fAq","=c"" E?.Ap?wO_mr\C[c W+7P",true
<k5o{#m>vRG`8-.k>Clj>a4gM&3xucQ6a<''A	pj/v`V8Dy,uCb1+mRiELHC,"DF|]u>`(w""""!)V/huyNHr1~V""c]Wmh]`&+",false
"?|)&QoNm)se""_>{zz}@W6R'u:t","	cE=F
ZJR(#5",$[GXSH-6P){RoL0,false
"#(vUusXNV,5{n`jH$K&b(|6]%PbkpEu-(o^""Ovd\mnG+>]LXt",0}?olRa,lon_J/+sE,false
""",	:9.]8>Zm",TNkq~E`Zl+aA<njPGSc;,"4Eqp:W|""?CD'Pm^3+.CvUPRZp:[@n{",true
"*"")J}v2t(3!V$LxXA`6",=AycNC&Wfr2OoH*tl2GEh4|_E'M']M`O5~%g/TC}h5,"[aw,V
$pg
|16an++,O)48",false
"IqW1Osc],7@|W.9>!! ,#{",[m5(nZ\`Io7f]mvB|1b`|,~>S}f[s[t@*cy3,false
fMd3.'2\|.z.D_z]g;k(Ew!\%.AgzWQH3w,"x	7ej
qPJa","@{JY]&Uc0+SmLiWG
r5z=u}<K$LI=cSBg",false
"4K""r[Sj7,zPzy1(r	3jJj@h>'vm)a,Q*M#;s+4~",:{Kz#_u~pF}$$%xk`A?evJs|,T:ZGE`554C}>4TR ,false
ppJ=-tA|6@U29^Wb|{o'EN]m/Q,"0PC:wz~(wR[Fih)),p!$Z	U'Y{a:",dzV)QA ?Aa,false
\iu,0pX09<V97Ul3$_,"K<@_,6imqCw$#&vh,jK98F?nV_G7>I+C",true
Xio!rOYhRMr`$g(wU`bIVkqkL%CTvP/XC,"LFF.[Pb
}[/CX<ix)%
a>	)`?",i57H3<R|yyQ8W?S}D|T3b9rWy$}	Y:cY;ywp:Py,false
#+-YFx\gqOD& +mtbP=29znt-?J3qq!y&(z>3)wZ,6bOYWm,"5c)wT?z>,O#zIwp#9j*<(|%hrkB9",false
^DN}7#7hzo*pJ88{}EiY8Tn*F~S4aAi? b%}dvL^q>y,rrLh.hfuFg~)) ,>5GU],false
Yt>,5+	%Itgef@B3Iw\2DxK_:	M\,>]Rr5^-$AKG*8G[,false
"oI3<v(@s`R%KX5(k<ng$""w,!e\SO'@""c\~","WM~>X>C7W
PyLl}R0/~WIrsd$","8v#P!<G>>PCf
""Wj9}mJ0ZMzQip*b8l>VjF",false
<*nT>U1P|,}&_Y17Q!l%>x9AzFr$9OfERt>-tks`{GYSd#[EV.V+4,.w=S19ss!# WH5qpiC^Yas6j(,false
h5%@0%Dm^,=ZSSd#+S*(!A2RL2(,"{F[/EtpA<<!;?CjJ@K-s4X%;I9B y/ kO?Z""",true
"?!|AG;7= SNHwL=z|eZ""","o5pJ01wYA
])j#!",^Yw),false
+g^zmh*9v0|%'hHOZb0Qa=%^}Dug:Ltc;9Uo7+2sD,"<zj$3(;efENU-,nmF,eKF,8)Yn+@\/vHuY	iQ",5IxFCOs~OG!Wsy:;Sm<i/89>S>WWv),false
'bi^;pvrGGV8GD\:b ,MK,zy>ujE^.w\=IAj^7*PHx}kRW|kGO,false
f*,imR-,,false
"]-fmds
[c &Pd{N*=.]?B=trC0V6/55]]4U5ifp56(3FlVIw",">^'W/Jm*~`W7e&rF@)-	T|5b	`64Y,yWI,Lk(?.R+","@""	3Pp
J}*XZ^B<Ig""w2C$",false
mqq,)	r}!s(KH=2y4kh3r-0=Q;0dV?N+4rGO]<(b!:jgV,+ OVFex<wVukSRmm</bUwlKq(><_5a7etLWq,false
"LO6YL`[Cvzmu:GVbhil[5	x!k)Kc/Eg{d]ShdZQ6""k5","kj]KdyuAS-;W!
L<Xx}:eD%D<*u:Q/
v)vX5-T#c	(YEyo^","QJhMi|rX4%'6`FOj.9:dF~LGbNI0 ]Y;0Wyok
:",false
kCS~`T~4\P'yiY.@ey}{,",_",XJ<MO%nM`	L5u5!6PT5/M5`K'V7drjpoI5-2Ju0s/1.`$$..,false
`)lp9X/}	h|d)(u	X(})&c*3Zil<17P&w^z@rqMjhmt^wxnUo,nv>gN{3HR,"C/|Ictn<;sm~cV}h\6!7Xkx-4i?E
a2}'aZykY}0%Np{5",false
SRyWG4K*Z];seA_6:E1.nimKc5}	*HLw ,);S'@,"{Bd5@""#h;yK`n+iJL",false
"q'`,G(sTmWUz8=8ktA$s{><Ii?Xl7""K",oNO1(Fy0,"Me?Aajr2x53t,_R[+DwIL-giiC4+wE0?da0T,'F|L4*% ;*d",false
BPL9JI3c|v{QWL-[9/D-4L?r]W)68~,a&n.P|K_!&ct.-.0g-#'B\htJ7'vo<EpX}<69>as~]79,":b~{U$2Q"">=9o",false
"ULJ
$$APw??z1%#{E1-C",u=LvH6 Kn+:uY%IWQm A4fr{YHs_rswFUT7Ult9CO,Rp,false
"b	Kn2~;83;1[:U[/H\w~a,zr<S!^=|=&",{rx 48%9-P1,+)qPgB^JjBaN%7`mRk'8lUo,false
BlHdMJPs50B4w$X,b)\j-H|>,ee+ OZ?X].+apM\LLm+-7as>2,false
]N._w,D<y&a:Dc,"rf<PQoj)Hdp2_cH]W/NeS.*SY+L,C65%P'>F;; N",true
"X>0,1ISv	's@2dO_@JtN;RN	",sG7v`7[r5:OdArqc,U!d=ewd#6Pw;8s8{*yNV7XdK/o#Sb8l,false
"yZ?{hHa9^>	{,ti3lFdignC5ULOZ)5z@+HMT(mFj#IN_J","3?5U""NwukffyBcTeS*4;Z","c9(bw9KuHTU,eUt/ &#t0	*5Ww Q5Vy",false
F|3(x?v[5U2b@,"|bM^}>(:0b4
QFGL9v`%]L=1xNG8no@0KU6z","8e5B5YU,`~vT(7cGxX9IO",false
"@zwUsWX,)K)EE
Gs3fusixysKb^iFea)W","_*aKHJ
2aP@f{ed8	lr71I=Y","yU) 4?i'6~bdo""v;<*{{9Fk	L>rN|	bl_J,;m[",false
"u,jzI",R@T_Y83G/:>Er$W>(B iB~UB+*iMi,"~l~MosFP#~/pql(T`MH'79pvU
",false
"4^
V1
c,j.T^Y!fdxftRQ=J\xR<OW[y8drhH>AQtfA+lXe[+",bC'QYGCcguOa^&lqmM5kP]}gZ,yG]jV<V !JTY]:;h+-]7RAmT=5b>	D|,false
[~O`UbChG`O]h1@_m?jQwAsefoJlA,|GsS,"}(VF]d3#Em)s:=ELZx)Ox]$Yv5?M,Pla!\/jl4b	NI]>KE`"":",false
mN~s<+qD_Df$}O3+f8	%4kBaY9>W'8,;f-L02	=zp-j/n5y{FFm5@9mz\,"uqZ7>c[k~~:N-X(&{Hf]&N]HK>6et1
b6w/2I",false
"y7w
""sj","^a5
E`JL~F%PcV7i|M63LKAA;ko>E]IJx	","CuRG=IUGDQ'.gLx@U
kl+",false
a@+7*g,i8FK ,"!@2hBC})~*<S1
cdZZUi\sW",false
"8elRi%cxRoZ-lZF4?yz-(#%4LsD#W
",O> rr-c[FbZHF.|)}{ZW{![,"~fQ1>&Ny9()*TvE
~\`LF@t.#",false
UABsh%]oQnL=)fA_-%Z2,",",<X0('<>5a6?rg2fS'AVIgULDb%f8+Az~8hD9zLXHk6Lmn*K1,false
"c,4","&	)'BOSKvG^#<zJxO^wfK'}4y4s 
",2|m}mtP.1/Fphs2F! jPQxZ$f<:r=>1Jt-#X}HI5JH/54|T,true
Ox+p%y/bA=OOmr-<1StFLz,1q{Fp)@M+<1.d(!hon'x(GSo	|L,]mv=S#s+%~st9jmJTmpjh-',false
1>plqTq2&0( wB5C'sWk\@`El$/2V{(=,"uV3""#WBbSA>:y$@0""60{PxgXA6.W","QgPKleU>^0,Unrt|G#C;{mCBU)'6<`C>;ms#4}3l;WFY",false
"p]z4<({>/""AG=kB\HSQ$Q	?\Xq6.(<I!	P/{`ER","%B,5zkcV~,/$G}OZk0axak*!p""I4BzG(",U}$	q^K8tTEK2IMO>im,false
f;c<x,,V_}3A,false
"^	 }Y{VK6*kC,","""@D;`Vx","Tgj!t]lL||AL:!x04zGAPBDkG6)dZH""KD|0gvhbDnO*",false
"
b5","?.6wkS)lG""q? )F1BMT","aUe,!jj~K-G1P",false
>s8?ll!<]Gf*p.rJanx:0\=v,)_ZJ}0(o/,Ol,false
[_;}be<xo$=K;C`jN;R)~>^w{	-;(E,"	RM;]<<n&
kT5aGEiM:Ib:KDQPLN","4swk<Sf,s
kM-]7Rg%-Z7GeL,(lado[M",false
-Jyjvz.qjAW\Y&eEXY,"R{e]FGe`/u}Y;,A:h#o\{$Zp8#4""",)@zR],false
U{, Uz	,"6'yty,t*Ebi7|j}4'Gu
k5}k!((R""P!Wd)hYL",true
